"id","x.min","activ","CO2.mean","activ.mean"
"1.11",45.3783116701374,0.00623444571668888,46.7652503460145,0.00735025541783696
"1.3",30.0462098292378,0.00488218926141608,35.0151991195652,0.00704125949067029
"1.4",50.7858422628072,0.0107978573211120,54.4924830856884,0.0223747247132844
"1.5",33.0844089279467,0.00408654470039983,36.1243233077899,0.00659064755271558
"1.6b",63.4399252478134,0.0225148996007455,123.053435900174,0.0578204234116832
"1.7",30.7152049354436,0.00516189453354852,37.4133338297101,0.0113553546546957
"10.10",68.9907954685548,0.0582793864247647,86.8923666105073,0.0713101402904529
"10.11",54.2651654889629,0.00787929691849646,62.5919305197464,0.0097314657825634
"10.12",102.307929379425,0.0759941604076093,117.285718063406,0.101618019254690
"10.13",44.9230219908371,0.0105368278817743,47.3347704782609,0.00947792454495833
"10.14",35.6089051491045,0.00471578353059975,41.5813630603261,0.0106794234630580
"10.4",47.776649637651,0.00467191921399833,52.2677171358696,0.00578189667215036
"10.5",51.3027328917118,0.00912079547249063,63.5877397994565,0.0101504372464620
"10.6",52.3596649729280,0.00488400800504373,54.9971579601449,0.00577051746944565
"10.7",41.0861847800916,0.00432433719728863,44.9357893762681,0.0064997826314221
"10.8",42.9721861682632,0.00770013448114536,49.2239464402174,0.0148619237561775
"10.9",34.4955166176593,0.00694406525134527,37.1711896682971,0.0081795848287826
"11.1",49.7183712786339,0.00551214493119534,64.1555614076087,0.0235429004549330
"11.4",47.577855456893,0.00464354744146606,48.4940739297101,0.00450385429608877
"11.5",46.7835004781341,0.00533441618208663,53.3251906817029,0.00623820218193659
"11.6",111.869792086631,0.0415659069737443,116.332240391304,0.0522121065059855
"11.7",55.5026058725531,0.0051198541157476,64.1506197119565,0.0113626624443225
"12.10",45.2768762057476,0.0137796046802124,48.6241911539855,0.0123229651183460
"12.11",42.3964745897543,0.0130352986793753,46.2922976431159,0.0119401396597355
"12.12",37.7270586380675,0.00594465289114536,41.9744963235507,0.00555298054465217
"12.4",49.3874330270720,0.0069200500121616,55.0771148692029,0.0101550749860018
"12.5",37.5275306917951,0.00677232175182007,42.3703703789855,0.00896243340788225
"12.6",45.9293840191587,0.00406975896056643,50.943608490942,0.00648928417063225
"12.7",28.0340102249063,0.00367928381849646,31.0092097344203,0.00391671719500543
"12.8",40.0180617159517,0.00384496964753853,45.1494862880435,0.00477514265723188
"12.9",45.4946823448563,0.00499288860471054,48.0528807119565,0.00478590141933515
"13.10",31.0426009371095,0.00363073164971262,35.1606311847826,0.00618195249029167
"13.11",38.71915754394,0.0128497676746606,43.7264289974638,0.0104120707930308
"13.12",95.3858362807164,0.0601303354240233,129.763089956522,0.0967364912073116
"13.2",40.2390341249479,0.00509916325632237,44.8380176096015,0.00561231780211413
"13.3",64.022755331112,0.0077798566063182,70.799005393116,0.0136713788401830
"13.4",48.3472408121616,0.00542442185637235,51.7535882807971,0.00655985177300906
"13.5",38.5317592444815,0.00715270227331112,40.5525181297101,0.0112176212938370
"13.6",23.1087626572262,0.00805441753142024,25.3815801902174,0.00803864435081703
"13.7",49.2857016859642,0.00583057185295294,54.1517713003623,0.00734609269189855
"13.8",46.5003027309454,0.0070985551532903,52.8611603496377,0.00793776142322645
"13.9",43.3362345897543,0.0100802396609954,47.2339344057971,0.0124651516562011
"14.1",70.3483035501874,0.00698004738476468,80.047536325,0.0165757715018207
"14.2",39.379681274469,0.00446861464928363,43.3215851141304,0.0057542956912337
"14.3",35.0386636089129,0.00554247422880883,40.3555660443841,0.00653598680673007
"14.4",34.4649406551437,0.00633395602249063,36.9686996255435,0.00722084027564312
"14.5",28.4712418658892,0.00327872173389838,30.8142005199275,0.0045440440498442
"15.1",34.4521532944606,0.00436728672509788,35.6962467119565,0.00400384098829167
"15.2",37.9239269137859,0.00806066939476468,40.7775083641304,0.00836971617446558
"15.3",36.3891710453978,0.00963029769286964,39.2000171612319,0.0153243704152609
"15.4",28.9648331986672,0.00416756731396501,32.3171225181159,0.00796824503702899
"15.5",40.4669679716785,0.00621524630525198,42.1919139800725,0.00746492242631703
"15.6",40.853799816743,0.00735203353793003,44.5034888297101,0.00703545609105435
"15.61",49.2375752353186,0.00882091248620991,53.3446725235507,0.0136794189520489
"15.7",97.3434077884215,0.0489829894148938,109.955079143116,0.0622065786314348
"16.1",43.11104030404,0.00617359694957101,45.9638263242754,0.00591459698758696
"16.2",36.2104332786339,0.0116835009048355,39.018485907971,0.0154024050452989
"16.3",33.4049243298626,0.00448735880540192,37.4436858398551,0.0050952630251558
"16.4",48.9975509954186,0.00595135498134527,51.2458958278986,0.00465081868063225
"16.5",40.8615197542691,0.00703094417754685,43.9714868894928,0.0086380114619058
"16.6",44.1062259600167,0.00406141603433153,51.5105222028985,0.00649926480528804
"16.7",33.7351692998751,0.00457540684201999,35.6727959592779,0.00823237156834058
"16.71",31.878790849646,0.00367277402091628,33.5531462697464,0.00745591957467572
"17.1",36.1806168329863,0.0114773409475927,41.6742837166667,0.0149592182785833
"17.19",45.025871574344,0.00569078422376926,46.7369788967391,0.00618243372359601
"17.2",47.505789243232,0.0105976741864681,49.2079586780797,0.0097153568394384
"17.3",36.6375353269471,0.00838013403916701,41.2112076708333,0.00950639678245471
"18.1",49.4742322615577,0.0104787198988505,54.4573244891304,0.0119775728817047
"18.19",59.4111424947938,0.00428841222620158,62.4114975525362,0.00580816199492391
"18.2",41.6132747242815,0.00773137519037901,45.1757762860507,0.0103437363249312
"18.3",49.8924437667638,0.00447720652581424,54.2697363503623,0.00440393148595109
